Names,Noms,Type,PV,Attaque,Attaque Spéciale,Défense,Défense Spéciale,Vitesse,Génération,Somme Stats,Moyenne Statistique
Bulbasaur,Bulbizarre,"['Plante', 'Poison']",45,49,65,49,65,45,1,318.0,53.0
Ivysaur,Herbizarre,"['Plante', 'Poison']",60,62,80,63,80,60,1,405.0,67.5
Venusaur,Florizarre,"['Plante', 'Poison']",80,82,100,83,100,80,1,525.0,87.5
Charmander,Salamèche,['Feu'],39,52,60,43,50,65,1,309.0,51.5
Charmeleon,Reptincel,['Feu'],58,64,80,58,65,80,1,405.0,67.5
Charizard,Dracaufeu,"['Feu', 'Vol']",78,84,109,78,85,100,1,534.0,89.0
Squirtle,Carapuce,['Eau'],44,48,50,65,64,43,1,314.0,52.33
Wartortle,Carabaffe,['Eau'],59,63,65,80,80,58,1,405.0,67.5
Blastoise,Tortank,['Eau'],79,83,85,100,105,78,1,530.0,88.33
Caterpie,Chenipan,['Insecte'],45,30,20,35,20,45,1,195.0,32.5
Metapod,Chrysacier,['Insecte'],50,20,25,55,25,30,1,205.0,34.17
Butterfree,Papilusion,"['Insecte', 'Vol']",60,45,90,50,80,70,1,395.0,65.83
Weedle,Aspicot,"['Insecte', 'Poison']",40,35,20,30,20,50,1,195.0,32.5
Kakuna,Coconfort,"['Insecte', 'Poison']",45,25,25,50,25,35,1,205.0,34.17
Beedrill,Dardargnan,"['Insecte', 'Poison']",65,90,45,40,80,75,1,395.0,65.83
Pidgey,Roucool,"['Normal', 'Vol']",40,45,35,40,35,56,1,251.0,41.83
Pidgeotto,Roucoups,"['Normal', 'Vol']",63,60,50,55,50,71,1,349.0,58.17
Pidgeot,Roucarnage,"['Normal', 'Vol']",83,80,70,75,70,101,1,479.0,79.83
Rattata,Rattata,['Normal'],30,56,25,35,35,72,1,253.0,42.17
Raticate,Rattatac,['Normal'],55,81,50,60,70,97,1,413.0,68.83
Spearow,Piafabec,"['Normal', 'Vol']",40,60,31,30,31,70,1,262.0,43.67
Fearow,Rapasdepic,"['Normal', 'Vol']",65,90,61,65,61,100,1,442.0,73.67
Ekans,Abo,['Poison'],35,60,40,44,54,55,1,288.0,48.0
Arbok,Arbok,['Poison'],60,95,65,69,79,80,1,448.0,74.67
Pikachu,Pikachu,['Électrik'],35,55,50,40,50,90,1,320.0,53.33
Raichu,Raichu,['Électrik'],60,90,90,55,80,110,1,485.0,80.83
Sandshrew,Sabelette,['Sol'],50,75,20,85,30,40,1,300.0,50.0
Sandslash,Sablaireau,['Sol'],75,100,45,110,55,65,1,450.0,75.0
Nidoran♀,Nidoran♀,['Poison'],55,47,40,52,40,41,1,275.0,45.83
Nidorina,Nidorina,['Poison'],70,62,55,67,55,56,1,365.0,60.83
Nidoqueen,Nidoqueen,"['Poison', 'Sol']",90,92,75,87,85,76,1,505.0,84.17
Nidoran♂,Nidoran♂,['Poison'],46,57,40,40,40,50,1,273.0,45.5
Nidorino,Nidorino,['Poison'],61,72,55,57,55,65,1,365.0,60.83
Nidoking,Nidoking,"['Poison', 'Sol']",81,102,85,77,75,85,1,505.0,84.17
Clefairy,Mélofée,['Fée'],70,45,60,48,65,35,1,323.0,53.83
Clefable,Mélodelfe,['Fée'],95,70,95,73,90,60,1,483.0,80.5
Vulpix,Goupix,['Feu'],38,41,50,40,65,65,1,299.0,49.83
Ninetales,Feunard,['Feu'],73,76,81,75,100,100,1,505.0,84.17
Jigglypuff,Rondoudou,"['Normal', 'Fée']",115,45,45,20,25,20,1,270.0,45.0
Wigglytuff,Grodoudou,"['Normal', 'Fée']",140,70,85,45,50,45,1,435.0,72.5
Zubat,Nosferapti,"['Poison', 'Vol']",40,45,30,35,40,55,1,245.0,40.83
Golbat,Nosferalto,"['Poison', 'Vol']",75,80,65,70,75,90,1,455.0,75.83
Oddish,Mystherbe,"['Plante', 'Poison']",45,50,75,55,65,30,1,320.0,53.33
Gloom,Ortide,"['Plante', 'Poison']",60,65,85,70,75,40,1,395.0,65.83
Vileplume,Rafflesia,"['Plante', 'Poison']",75,80,110,85,90,50,1,490.0,81.67
Paras,Paras,"['Insecte', 'Plante']",35,70,45,55,55,25,1,285.0,47.5
Parasect,Parasect,"['Insecte', 'Plante']",60,95,60,80,80,30,1,405.0,67.5
Venonat,Mimitoss,"['Insecte', 'Poison']",60,55,40,50,55,45,1,305.0,50.83
Venomoth,Aéromite,"['Insecte', 'Poison']",70,65,90,60,75,90,1,450.0,75.0
Diglett,Taupiqueur,['Sol'],10,55,35,25,45,95,1,265.0,44.17
Dugtrio,Triopikeur,['Sol'],35,100,50,50,70,120,1,425.0,70.83
Meowth,Miaouss,['Normal'],40,45,40,35,40,90,1,290.0,48.33
Persian,Persian,['Normal'],65,70,65,60,65,115,1,440.0,73.33
Psyduck,Psykokwak,['Eau'],50,52,65,48,50,55,1,320.0,53.33
Golduck,Akwakwak,['Eau'],80,82,95,78,80,85,1,500.0,83.33
Mankey,Férosinge,['Combat'],40,80,35,35,45,70,1,305.0,50.83
